database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	HeLa1	HeLa2	HeLa3	HeLa4	HeLa5	HeLa6	HeLa7	HeLa8	HeLa9	HeLa10	HeLa11	HeLa12	RAW1	RAW2	RAW3	RAW4	RAW5	RAW6	RAW7	RAW8	RAW9	RAW10	RAW11	RAW12
CHEBI:26271	C5H9NO2	OC(=O)C1CCCN1	InChI=1S/C5H9NO2/c7-5(8)4-2-1-3-6-4/h4,6H,1-3H2,(H,7,8)	Proline	114.056		M-H		8.12												4311386	4672364	4781060	4943588	4095332	6149784	5330368	5477864	5114526	5412441	6215269	5858938	8285482	6750461	6710321	4586342	5369638	6487011	6712796	6403673	4646063	5757400	6599278	6517079
CHEBI:16709	C8H11NO3	CC1=C(O)C(CO)=C(CO)C=N1	InChI=1S/C8H11NO3/c1-5-8(12)7(4-11)6(3-10)2-9-5/h2,10-12H,3-4H2,1H3	Pyridoxine	168.066		M-H		2.28												250567010	249187768	239344148	228372394	182708977	234321627	191999135	184495084	169652970	180755348	180355240	170276747	287219668	306548942	282951441	258703238	251233083	261858986	291646185	287886470	257546456	269978951	253847923	259776794
CHEBI:32816	C3H4O3	CC(=O)C(O)=O	InChI=1S/C3H4O3/c1-2(4)3(5)6/h1H3,(H,5,6)	Pyruvate	87.008		M-H		5.46												121729430	121491075	121791156	103639566	83873458	106396643	94587319	80272703	82368013	80530208	77814923	72336625	101925252	108361559	113388738	100434802	82909228	84667286	123581234	106278850	117096869	75325056	76713200	76831263
CHEBI:17015	C17H20N4O6	CC1=C(C)C=C2N(C[C@H](O)[C@H](O)[C@H](O)CO)C3=NC(=O)NC(=O)C3=NC2=C1	InChI=1S/C17H20N4O6/c1-7-3-9-10(4-8(7)2)21(5-11(23)14(25)12(24)6-22)15-13(18-9)16(26)20-17(27)19-15/h3-4,11-12,14,22-25H,5-6H2,1-2H3,(H,20,26,27)/t11-,12+,14-/m0/s1	Riboflavin	375.131		M-H		3.68												3178763	2997794	2849379	2865110	1372795	2058598	1773038	1708216	1376719	1467080	1502722	1398254	2278477	2076941	1921062	1928789	1627897	1616929	2293566	1916121	1882141	1860018	1750089	1582892
CHEBI:17797	C5H11O8P	O[C@H](COP(O)(O)=O)[C@@H](O)[C@@H](O)C=O	InChI=1S/C5H11O8P/c6-1-3(7)5(9)4(8)2-13-14(10,11)12/h1,3-5,7-9H,2H2,(H2,10,11,12)/t3-,4+,5-/m0/s1	Ribose 5 phosphate	229.011		M-H		11.56												1211488	1444394	1387107	1359820	1327410	1671026	1408658	1476804	1286492	1377375	1502780	1358832	1227578	1310530	1158278	1520646	1430828	1488994	1246457	1266576	1311739	1494551	1335052	1425491
CHEBI:15611	C3H7NO2	CNCC(O)=O	InChI=1S/C3H7NO2/c1-4-2-3(5)6/h4H,2H2,1H3,(H,5,6)	Sarcosine	88.04		M-H		7.34												4211161	3989407	4179824	4049763	3496845	4598318	3542602	4108766	3710075	3792641	3838475	3395351	4330308	4865483	4977375	4279525	4026452	4343424	4672384	4758439	4262843	4422872	4626154	
CHEBI:15721	C7H15O10P	OCC(=O)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP(O)(O)=O	InChI=1S/C7H15O10P/c8-1-3(9)5(11)7(13)6(12)4(10)2-17-18(14,15)16/h4-8,10-13H,1-2H2,(H2,14,15,16)/t4-,5-,6-,7+/m1/s1	Sedoheptulose 7 phosphate	289.033		M-H		11.95												630652	661740	637371	492149	527010	589789	686093	764599	542946	672738	531854	533750	2639387	2578334	2492118	2764995	3163154	3361307	2358614	2547067	2517664	3020282	2996301	3186953
CHEBI:17822	C3H7NO3	NC(CO)C(O)=O	InChI=1S/C3H7NO3/c4-2(1-5)3(6)7/h2,5H,1,4H2,(H,6,7)	Serine	104.035		M-H		10.14												41387357	44610233	44043686	43782956	37541574	47383856	45889400	47728746	45975256	46404903	48221712	46803946	83111668	93423335	83870414	83514556	82624773	84162159	89574075	96338772	90469873	89226746	86107420	89306720
CHEBI:15741	C4H6O4	OC(=O)CCC(O)=O	InChI=1S/C4H6O4/c5-3(6)1-2-4(7)8/h1-2H2,(H,5,6)(H,7,8)	Succinic acid	117.019		M-H		11.3												46444240	49937564	45129605	48826650	44723991	51000476	46156906	48120335	44615726	48821765	48836669	46123848	42799890	44879843	41147566	40009769	40702029	42070462	40366033	42768935	40715966	41819733	43701380	42532563
CHEBI:15891	C2H7NO3S	C(CS(O)(=O)=O)N	InChI=1S/C2H7NO3S/c3-1-2-7(4,5)6/h1-3H2,(H,4,5,6)	Taurine	124.007		M-H		9.36												15172503	17694812	15218385	17142316	13130962	22057308	18320505	19217821	15029331	19540992	18606089	19079672	29171172	28857345	27476025	23759169	25894085	28067240	26995035	27188652	24527731	24924670	26183546	26821113
