database_identifier	chemical_formula	smiles	inchi	metabolite_identification	mass_to_charge	fragmentation	modifications	charge	retention_time	taxid	species	database	database_version	reliability	uri	search_engine	search_engine_score	smallmolecule_abundance_sub	smallmolecule_abundance_stdev_sub	smallmolecule_abundance_std_error_sub	HeLa1	HeLa2	HeLa3	HeLa4	HeLa5	HeLa6	HeLa7	HeLa8	HeLa9	HeLa10	HeLa11	HeLa12	RAW1	RAW2	RAW3	RAW4	RAW5	RAW6	RAW7	RAW8	RAW9	RAW10	RAW11	RAW12
CHEBI:27470	C19H19N7O6	Nc1nc2ncc(CNc3ccc(cc3)C(=O)N[C@@H](CCC(O)=O)C(O)=O)nc2c(=O)[nH]1	InChI=1S/C19H19N7O6/c20-19-25-15-14(17(30)26-19)23-11(8-22-15)7-21-10-3-1-9(2-4-10)16(29)24-12(18(31)32)5-6-13(27)28/h1-4,8,12,21H,5-7H2,(H,24,29)(H,27,28)(H,31,32)(H3,20,22,25,26,30)/t12-/m0/s1	FolicAcid	440.132		M-H		12.04												962910	793317	724505	659105	594118	598306	571423	474965	439321	450981	467123	465864	502384	575170	453425	542159	482508	410153	668634	516253	569050	471980	414851	396229
CHEBI:15946	C6H13O9P	OCC(=O)[C@@H](O)[C@H](O)[C@H](O)COP(O)(O)=O	InChI=1S/C6H13O9P/c7-1-3(8)5(10)6(11)4(9)2-15-16(12,13)14/h4-7,9-11H,1-2H2,(H2,12,13,14)/t4-,5-,6-/m1/s1	Fructose 6 phosphate	259.022		M-H		11.72												1468647	1561407	1429464	1068283	1036018	1224822	1215930	1190202	922205	1278702	1056648	910324	1794795	1821958	1640203	1900769	1950055	2042872	1408388	1604885	1560199	1451216	1461852	1639090
CHEBI:18012	C4H4O4	OC(=O)\C=C\C(O)=O	InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/b2-1+	Fumarate	115.003		M-H		11.86												25835477	29191204	27136129	27712133	25021486	32991583	25867509	28641440	24018472	27517393	28149428	27123759	44115415	47120923	41565914	39434890	44089525	45067184	45257883	46807005	42821531	47051542	47208717	49543361
CHEBI:17552	C10H15N5O11P2	Nc1nc2n(cnc2c(=O)[nH]1)[C@@H]1O[C@H](COP(O)(=O)OP(O)(O)=O)[C@@H](O)[C@H]1O	InChI=1S/C10H15N5O11P2/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(25-9)1-24-28(22,23)26-27(19,20)21/h2-3,5-6,9,16-17H,1H2,(H,22,23)(H2,19,20,21)(H3,11,13,14,18)/t3-,5-,6-,9-/m1/s1	GDP	442.017		M-H		13												77112	99166	114538	24744	50882	30886	137768	181861	41677	134362	52036	46970	140594	188439	155692	144347	210973	213359	193935	248053	187283	244391	229047	234075
CHEBI:33198	C6H12O7	OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(O)=O	InChI=1S/C6H12O7/c7-1-2(8)3(9)4(10)5(11)6(12)13/h2-5,7-11H,1H2,(H,12,13)/t2-,3-,4+,5-/m1/s1	D-Gluconate	195.051		M-H		9.92												77247247	92431857	83659034	85965351	77494852	98385221	81947937	93113323	66656470	94041601	86709018	87031018	16639968	16892861	15386106	13506985	16609130	17544651	15484352	16911260	15141628	16651857	17231212	19855530
CHEBI:4167	C6H12O6	OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O	InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2/t2-,3-,4+,5-,6?/m1/s1	D-glucopyranose	179.056		M-H		8.77												26365943	25453231	27359508	26350484	20324284	26114041	20545772	19430172	18163312	17117049	20395167	18984236	17943257	25668336	21313918	23301375	18098315	19584123	19522936	16826163	18648215	14573214	12062813	11327339
CHEBI:4170	C6H13O9P	OC1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H](O)[C@H]1O	InChI=1S/C6H13O9P/c7-3-2(1-14-16(11,12)13)15-6(10)5(9)4(3)8/h2-10H,1H2,(H2,11,12,13)/t2-,3-,4+,5-,6?/m1/s1	D-glucopyranose 6-phosphate	259.022		M-H		12.17												3214019	3467519	3309850	2789759	2740981	3142291	3184614	3370518	2412542	3033530	2796813	2781863	1626320	1805268	1636673	2251811	2329240	2203725	1709154	2153176	2163949	2268159	2300052	2052235
CHEBI:18237	C5H9NO4	NC(CCC(O)=O)C(O)=O	InChI=1S/C5H9NO4/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H,7,8)(H,9,10)	Glutamic_acid	146.045		M-H		10.91												331546332	369221391	353181581	368631869	324628087	406341560	355636361	394690143	345042143	377329672	392786730	376019818	837812224	849326978	780403660	689136154	760887740	793358527	772802477	845555208	713549687	761813158	797499085	831774060
CHEBI:28300	C5H10N2O3	NC(CCC(N)=O)C(O)=O	InChI=1S/C5H10N2O3/c6-3(5(9)10)1-2-4(7)8/h3H,1-2,6H2,(H2,7,8)(H,9,10)	Glutamine	145.061		M-H		9.92												206179949	217171777	212442024	218107023	178784306	225962137	219622980	228114843	217096665	225105196	226760797	218762488	571266212	585750124	556837199	509631094	517526425	551168215	592836613	620624616	571180015	584628131	562273901	600277121
CHEBI:15978	C3H9O6P	OC[C@@H](O)COP(O)(O)=O	InChI=1S/C3H9O6P/c4-1-3(5)2-9-10(6,7)8/h3-5H,1-2H2,(H2,6,7,8)/t3-/m1/s1	Glycerol-3-phosphate	171.006		M-H		11.24												359507	450360	391970	360483	309292	427465	399989	437305	327400	388959	362695	352665	16426538	16465470	15016687	11356900	13290565	14118535	16674047	16976171	15291572	14722153	14387117	15989241
CHEBI:17345	C10H14N5O8P	Nc1nc2n(cnc2c(=O)[nH]1)[C@@H]1O[C@H](COP(O)(O)=O)[C@@H](O)[C@H]1O	InChI=1S/C10H14N5O8P/c11-10-13-7-4(8(18)14-10)12-2-15(7)9-6(17)5(16)3(23-9)1-22-24(19,20)21/h2-3,5-6,9,16-17H,1H2,(H2,19,20,21)(H3,11,13,14,18)/t3-,5-,6-,9-/m1/s1	GMP	362.05		M-H		11.96												226220	260490	264254	190988	226902	254075	301344	297575	191634	289202	224217	212733	633005	572681	553391	425846	548296	636936	623379	658620	635914	543184	612405	685410
CHEBI:16856	C10H17N3O6S	N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O	InChI=1S/C10H17N3O6S/c11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16/h5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19)/t5-,6-/m0/s1	GSH	306.076		M-H		10.71												812816506	942006895	924204514	976196487	834988970	1121962977	957332078	1004913115	831961172	953155609	1086698950	982445317	1223045140	1291427296	1194437227	796256075	944599802	985214983	1182113427	1293913849	1134679073	976864843	878341812	1084699219
CHEBI:17858	C20H32N6O12S2	N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(O)=O)C(=O)NCC(O)=O)C(=O)NCC(O)=O)C(O)=O	InChI=1S/C20H32N6O12S2/c21-9(19(35)36)1-3-13(27)25-11(17(33)23-5-15(29)30)7-39-40-8-12(18(34)24-6-16(31)32)26-14(28)4-2-10(22)20(37)38/h9-12H,1-8,21-22H2,(H,23,33)(H,24,34)(H,25,27)(H,26,28)(H,29,30)(H,31,32)(H,35,36)(H,37,38)/t9-,10-,11-,12-/m0/s1	GSSG	611.144		M-H		12.78												206774355	239707516	221433660	206562480	187277527	256304451	212082602	246578012	182741507	235246806	212332491	206959895	303308159	314798323	264674834	343195155	374659994	393228312	255325343	298837923	261758394	376961809	393773936	384973761
CHEBI:27570	C6H9N3O2	NC(Cc1c[nH]cn1)C(O)=O	InChI=1S/C6H9N3O2/c7-5(6(10)11)1-4-2-8-3-9-4/h2-3,5H,1,7H2,(H,8,9)(H,10,11)	Histidine	154.062		M-H		9.88												60546327	62707496	66397386	62278884	54117238	71303443	64015969	65461967	59211837	63688004	63190332	62870820	63941763	60739181	54990490	54303624	52867493	58155280	60343345	60591609	49286666	58859275	57282471	56022977
CHEBI:17368	C5H4N4O	O=c1[nH]cnc2nc[nH]c12	InChI=1S/C5H4N4O/c10-5-3-4(7-1-6-3)8-2-9-5/h1-2H,(H2,6,7,8,9,10)	Hypoxanthine	135.031		M-H		1.48												406772	334522	NF	NF	NF	NF	NF	142329	NF	153480	NF	NF	NF	NF	NF	NF	212119	NF	NF	NF	NF	NF	NF	283478
CHEBI:77846	C2H3NO2	[O-]C(=O)C=[NH2+]	InChI=1S/C2H3NO2/c3-1-2(4)5/h1,3H,(H,4,5)	Iminoacetate	72.009		M-H		6.47												1112652	1040359	1094736	1235576	912883	1377209	1244107	1460974	1242652	1192538	1129248	1204180	632050	572351	735759	646077	613898	616951	735374	574435	770761	872028	630780	902955
CHEBI:17191	C6H13NO2	OC([C@H]([C@H](CC)C)N)=O	InChI=1S/C6H13NO2/c1-3-4(2)5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)/t4-,5-/m0/s1	L-Isoleucine	130.087		M-H		6.95												199691439	202461016	202895356	201111368	163698889	218346256	205418703	199907133	199449166	194779694	206891288	201553899	151413099	153291702	142784536	130219622	125076031	132339466	158835070	149998493	131632711	141130073	137812180	134466011
CHEBI:30838	C5H6O4	C(C(CC(O)=O)=C)(O)=O	InChI=1S/C5H6O4/c1-3(5(8)9)2-4(6)7/h1-2H2,(H,6,7)(H,8,9)	Itaconate	129.019		M-H		11.83												NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	NF	92064746	92956473	87873253	81131979	84816701	86407054	98999399	106422380	97926594	98042479	95109619	103799413
CHEBI:78320	C3H6O3	CC(O)C(O)=O	InChI=1S/C3H6O3/c1-2(4)3(5)6/h2,4H,1H3,(H,5,6)	Lactate	89.024		M-H		7.37												408024540	450076637	404516387	445199606	351561347	510766977	357387531	328346685	328705887	360016513	386951626	347678164	1302279400	1133174402	1114682997	1012468087	1037356682	1093267702	1321112708	1184818933	1000557455	1218317865	1173726676	1170327541
CHEBI:25017	C6H13NO2	CC(C)CC(N)C(O)=O	InChI=1S/C6H13NO2/c1-4(2)3-5(7)6(8)9/h4-5H,3,7H2,1-2H3,(H,8,9)	Leucine	130.087		M-H		6.64												245408068	246397402	252821773	247475190	203971839	275798018	247265256	246281025	246604902	240116459	255251325	247999328	185722600	186362920	174153752	159741688	155989029	168935559	197320995	187858856	161933562	174264657	172247251	164223930
