Enter J=1 time [s],Exit J=1 time [s]
40.9909999370575,41.9109999370575
52.0309998989105,52.5409998989105
52.4079999923706,52.6179999923706
77.4509999752045,78.9109999752045
81.6570000648499,83.6470000648498
144.351000070572,146.631000070572
184.316999912262,184.666999912262
200.292999982834,201.312999982834
210.68799996376,215.56799996376
211.934000015259,212.554000015259
263.642999887466,265.842999887466
282.651999950409,282.891999950409
285.832000017166,287.752000017166
303.378999948502,304.138999948502
309.901999950409,311.181999950409
325.855999946594,326.335999946594
408.694000005722,417.024000005722
451.839999914169,452.309999914169
461.31500005722,461.35500005722
462.93700003624,463.91700003624
469.596999883652,469.646999883652
471.361999988556,472.011999988556
513.412999868393,515.712999868393
678.06200003624,679.73200003624
683.144000053406,686.504000053406
688.289999961853,693.289999961853
697.348000049591,698.658000049591
698.774999856949,699.344999856949
700.828999996185,702.038999996185
763.266000032425,764.336000032425
772.180999994278,773.440999994278
773.124000072479,773.444000072479
814.417000055313,814.877000055313
816.932999849319,817.832999849319
820.865999937057,824.195999937058
833.40499997139,834.53499997139
849.44000005722,849.77000005722
852.779000043869,853.659000043869
863.569999933243,863.939999933243
865.226999998093,866.736999998093
896.694000005722,896.724000005722
992.450000047684,996.310000047684
994.172999858856,995.732999858856
997.563999891281,999.653999891281
1005.05799984932,1005.60799984932
1009.44199991226,1010.24199991226
1011.71499991417,1012.60499991417
1055.05399990082,1056.79399990082
1056.1099998951,1056.9899998951
1078.18000006676,1078.85000006676
1082.03900003433,1082.41900003433
1086.53699994087,1090.35699994087
1091.96499991417,1095.24499991417
1093.30799984932,1093.85799984932
1095.57899999619,1097.14899999619
