Enter J=2 time [s],Exit J=2 time [s]
5.46700000762939,5.92700000762939
5.91000008583069,6.13000008583069
7.25499987602234,7.26499987602234
7.96099996566772,8.44099996566773
11.6989998817444,13.0389998817444
37,38.55
39.7979998588562,40.2279998588562
42.550999879837,43.810999879837
43.0209999084473,43.2409999084473
47.800999879837,48.840999879837
49.4530000686646,50.1830000686645
51.2230000495911,51.3330000495911
75.7219998836517,75.8919998836517
83.0249998569489,84.1249998569488
112.579999923706,113.179999923706
141.760999917984,142.090999917984
144.845999956131,144.995999956131
183.065999984741,184.585999984741
184.795000076294,184.975000076294
198.307999849319,199.177999849319
200.960999965668,201.300999965668
202.253000020981,203.323000020981
204.270999908447,205.020999908447
213.257999897003,213.697999897003
238.637000083923,238.907000083923
250.023000001907,250.083000001907
261.134999990463,261.184999990463
264.588999986649,265.198999986649
269.519999980927,270.069999980927
270.174999952316,270.214999952316
272.468999862671,274.528999862671
274.501999855042,276.251999855042
283.599999904633,284.209999904633
292.868999958038,292.878999958038
299.802000045776,301.462000045776
300.351999998093,300.631999998093
301.547999858856,301.907999858856
302.256999969482,302.676999969482
307.017999887466,310.257999887466
308.270999908447,308.940999908447
312.101999998093,313.781999998093
325.0609998703,325.2309998703
326.19000005722,326.26000005722
344.174000024796,344.704000024796
345.552000045776,346.292000045776
385.182999849319,385.222999849319
385.593999862671,385.763999862671
387.15299987793,387.39299987793
387.634999990463,387.854999990463
389.445999860764,390.245999860764
390.950000047684,391.790000047684
392.197000026703,393.207000026703
396.586999893188,397.126999893188
400.075999975204,400.415999975204
411.078999996185,413.058999996185
452.526000022888,452.856000022888
454.417999982834,456.007999982834
460.473000049591,462.063000049591
470.319999933243,470.599999933243
472.612999916077,473.382999916077
477.460999965668,477.750999965668
478.198999881744,478.288999881744
489.194000005722,489.984000005722
522.769000053406,523.079000053406
523.644999980927,523.874999980927
525.930000066757,527.020000066757
526.296999931335,526.426999931335
596.922999858856,597.942999858856
612.714999914169,612.824999914169
646.12299990654,647.09299990654
648.078999996185,649.458999996185
649.296999931335,649.936999931335
653.220999956131,653.950999956131
678.542000055313,678.702000055313
679.506999969482,680.196999969482
690.611999988556,691.211999988556
695.075999975204,697.985999975204
695.694000005722,696.014000005722
702.266000032425,703.256000032425
704.547999858856,706.017999858856
761.065999984741,761.245999984741
761.855000019073,762.415000019073
773.927999973297,774.397999973297
815.799000024796,815.839000024795
831.953999996185,832.533999996185
834.023000001907,834.373000001907
853.934000015259,854.604000015259
861.098000049591,861.268000049591
861.476000070572,861.626000070572
862.905999898911,862.985999898911
874.858999967575,875.038999967575
878.049000024796,881.009000024796
878.868999958038,878.968999958038
882.578000068665,883.228000068665
887.132999897003,887.152999897003
889.878999948502,891.968999948502
899.177999973297,900.957999973297
948.996000051498,949.266000051498
984.366999864578,985.536999864578
994.856999874115,995.276999874115
1008.03999996185,1010.68999996185
1008.41599988937,1008.50599988937
1012.09500002861,1012.16500002861
1014.64199995995,1014.72199995995
1032.96700000763,1033.33700000763
1043.48099994659,1046.74099994659
1046.43899989128,1047.65899989128
1049.06500005722,1049.79500005722
1049.48900008202,1049.66900008202
1052.97499990463,1053.13499990463
1056.82899999619,1057.07899999619
1070.94000005722,1071.42000005722
1073.02999997139,1074.52999997139
1074.82399988174,1075.36399988174
1080.33599996567,1081.58599996567
1086.99399995804,1087.00399995804
1087.74099993706,1088.21099993706
