Tracking start time stamp [s],Tracking end time stamp [s],Tracking duration [s]
73.2139999866486,105.633999986649,32.42
111.206000013351,153.066000013351,41.86
204.980999975204,214.340999975204,9.35999999999999
215.149999752045,230.039999752045,14.89
231.605999736786,274.695999736786,43.09
277.001999731064,366.501999731064,89.5
393.743999595642,414.973999595642,21.23
418.942999458313,440.182999458313,21.24
448.268999423981,545.618999423981,97.35
591.230999412537,644.620999412537,53.39
679.971999483109,745.071999483109,65.1
770.941999368668,831.721999368668,60.78
841.175999364853,859.595999364853,18.42
871.146999483109,888.746999483109,17.6
890.852999429703,916.152999429703,25.3
940.14599946022,940.14599946022,0
948.087999610901,962.597999610901,14.51
982.540999450684,983.920999450684,1.38
985.717999620438,1066.01799962044,80.3000000000001
1110.78299972534,1114.62299972534,3.83999999999992
1120.30799966812,1159.44799966812,39.1400000000001
1160.56599946022,1210.56599946022,50
1212.93899960518,1213.97899960518,1.03999999999996
1224.46199964523,1335.26199964523,110.8
1336.47199968338,1344.24199968338,7.76999999999998
1347.29799967766,1444.52799967766,97.23
1465.79899958611,1540.36899958611,74.5699999999999
1562.1569994545,1575.3069994545,13.1500000000001
1625.40899945259,1633.36899945259,7.96000000000004
1668.74999949455,1750.87999949455,82.1300000000001
1751.60499939919,1805.85499939919,54.25
1806.87799940109,1855.71799940109,48.8399999999999
1856.6239993,1904.2839993,47.6600000000001
1905.55299935341,1920.19299935341,14.6400000000001
1927.85699914932,1928.48699914932,0.630000000000109
1937.78499900818,1958.03499900818,20.25
1959.59899889946,2018.95899889946,59.3599999999999
2029.46899888992,2035.02899888992,5.55999999999995
2041.73399881363,2042.67399881363,0.940000000000055
2061.84899900436,2068.22899900436,6.38000000000011
2069.05699883461,2073.50699883461,4.44999999999982
2085.94999867439,2173.82999867439,87.8800000000001
2181.26599854469,2245.46599854469,64.1999999999998
2246.60499872208,2280.92499872208,34.3200000000002
2318.77999874115,2377.77999874115,59
2417.46699877739,2446.47699877739,29.0100000000002
2468.5869989109,2470.9269989109,2.34000000000015
2506.49499875069,2582.85499875069,76.3600000000001
2609.54899875641,2640.78899875641,31.2399999999998
2701.30899897575,2760.29899897575,58.9899999999998
2785.30299892426,2803.56299892426,18.2600000000002
2805.3749989605,2827.8549989605,22.48
2838.80399884224,2842.74399884224,3.94000000000005
2844.25299866676,2880.68299866676,36.4299999999998
2936.9919984436,2938.6519984436,1.65999999999985
2963.21599833489,3004.55599833489,41.3400000000001
3066.59299827576,3120.74299827576,54.1500000000001
3121.39299813271,3271.63299813271,150.24
3281.83799829483,3293.23799829483,11.4000000000001
3296.28699831963,3310.95699831963,14.6700000000001
3317.07299825668,3334.30299825668,17.23
3373.49699826241,3399.10699826241,25.6100000000001
3453.6559982872,3495.6159982872,41.96
3542.50899841309,3561.55899841309,19.0500000000002
3584.0519984436,3587.9219984436,3.86999999999989
3617.26199835777,3627.96199835777,10.6999999999998
3629.12099851608,3635.44099851608,6.32000000000016
3640.08899851799,3671.62899851799,31.54
3695.57599854469,3707.59599854469,12.02
3768.50399853706,3853.08399853706,84.5799999999999
3877.1269985199,3886.0869985199,8.96000000000004
